SPRAKTYPEAHEAD,SPRAK
Sra,Sranan%2FTaki-Taki
Sus,Susu
Sve,Svensk
Swa,Swahili
Swa,Swazi%2FIsiswazi%2FSwat
Syr,Syrisk%2FAssyrisk
Tad,Tadzjikisk
Fil,Filipino%2FTagalog
Tah,Tahitisk
Tam,Tamashak%2FTuareg
Tam,Tamezighi%2FTamazight
Tam,Tamil%2FTamilsk
Aba,Abaluhyisk
Afa,Afar%2FDanakil
Afr,Afrikaans
Ain,Ainu
Aka,Akan%2FTwi-Fante
Alb,Albansk
Alu,Aluf
Amh,Amharisk
Amo,Amoi
Ara,Arabisk
Ara,Arameisk
Arm,Armensk
Ass,Assamesisk
Aym,Aymara
Aze,Azerisk%2FAzerbajansk
Bal,Baluchisk
Bam,Bambara
Ban,Bandi
Ban,Bantu
Bas,Basjkirsk
Bas,Baskisk
Bem,Bemba%2FKibemba
Ben,Bengalsk
Ber,Berber
Bic,Bichelamar%2FBislama
Bih,Biharisk
Bon,Bono
Bos,Bosnisk
Bul,Bulgarsk
Bur,Burmesisk
Bus,Bushman
Ceb,Cebuano
Chi,Chichewa
Chi,Chishona%2FKorekore
Cot,Cotokali
Dag,Dagbani
Dan,Dansk
Dar,Darisk%2FPersisk
Den,Dendisk%2FDendi
Din,Dinka
Div,Divehi%2FMaldivisk
Dog,Dogon
Dyu,Dyula%2FDioula
Dzo,Dzongka%2FBhutanisk
Efi,Efik-Ibibio
Eng,Engelsk
Esk,Eskimoisk%2FInuitisk
Est,Estnisk
Ewe,Ewe
Fan,Fang
Fan,Fante
Fej,Fejli%2FKurdisk
Fid,Fidjiansk
Fin,Finsk
Fon,Fon
Fra,Fransk
Fra,Fransk+Patois
Fri,Frisisk
Fuk,Fukien
Ful,Ful%2FFula%2FFulfulde
Ful,Fulbe
F%C3%A6r,F%C3%A6r%C3%B8yisk
Ga%2F,Ga%2FGan
Gah,Gah+(Se+GA)
Gal,Galisisk
Geo,Georgisk%2FGruzinsk
Gre,Gresk
Gr%C3%B8,Gr%C3%B8nlandsk
Gua,Guarani
Guj,Gujarati
G%C3%A6l,G%C3%A6lisk
G%C3%A6l,G%C3%A6lisk+(Skotsk)
Hai,Haitisk
Hak,Hakka%2FKejia
Has,Hassania%2FZenaga
Hau,Hausa
Heb,Hebraisk
Her,Herero
Hin,Hindi
Hvi,Hviterussisk
Ibo,Ibo%2FIgbo
Iki,Ikiribati%2FGilbertes
Ind,Indonesisk
Irs,Irsk
Isl,Islandsk
Ita,Italiensk
Jap,Japansk
Jav,Javanesisk
Jid,Jiddisch
Kab,Kabre
Kab,Kabylisk
Kam,Kamba%2FKikamba
Kam,Kampa
Kan,Kanaresisk%2FKannada
Kan,Kantonesisk%2FYue
Kan,Kanuri
Kar,Karen
Kas,Kaschmirsk
Kat,Katalansk
Kav,Kavango
Kaz,Kazakisk
Khm,Khmer%2FKambodsjansk
Kin,Kinesisk
Kin,Kinyarwanda
Kir,Kirgisisk
Kir,Kirundi%2FIkirundi
Kon,Kongo%2FKikongo
Kon,Konkani%2FGoanesisk
Kor,Koreansk
Kor,Korsikansk
Kre,Kreol
Tsj,Tsjetsjensk
Tas,Tasjilhait%2FChlech
Tat,Tatarisk
Tel,Telugu
Tem,Temne
Teo,Teochew%2FTeochiu
Tha,Thailandsk
Tib,Tibetansk
Tig,Tigre
Tig,Tigrinja%2FTigrinsk
Tje,Tjerkessisk%2FKabardi
Tju,Tjuvasjisk
Tok,Tok+Pisin
Ton,Tonga%2FTongansk
Tsh,Tshiluba
Tsj,Tsjekkisk
Tur,Turabdinsk
Tur,Turkana%2FTeso-Turkan
Tur,Turkmensk
Twi,Twi
Tyr,Tyrkisk
Tys,Tysk
Uig,Uigurisk
Ukr,Ukrainsk
Umb,Umbundu%2FOvimbundu
Ung,Ungarsk
Urd,Urdu
Urm,Urmisk
Uzb,Uzbekisk
Vie,Vietnamesisk
Wal,Walisisk
Wol,Wollof
Xho,Xhosa%2FIsixhosa
Yi%2F,Yi%2FLolo
Yor,Yoruba
Zan,Zande%2FAzande
Zhu,Zhuang
Zul,Zulu
Lat,Latin
Teg,Tegnspr%C3%A5k+for+d%C3%B8ve
Bli,Blindeskrift
Nyn,Nynorsk
Bok,Bokm%C3%A5l
San,Sanskrit
Por,Portugisisk+(Brasil)
