TYPEAHEAD,YRKE
Pro,Prosjektingeniør (elkraftteknikk)
Ser,Serviceingeniør (elkraftteknikk)
Ser,Servicetekniker (elkraftteknikk)
Ski,Skiftingeniør (elkraftteknikk)
Sta,Standardiseringsingeniør (elkraftteknikk)
Str,Strekningsleder
Sur,Surveyor (elkraftteknikk)
Teg,Tegningskontrollør (elkraftteknikk)
Tek,Teknisk konsulent (elkraftteknikk)
Til,Tilsynsingeniør (elkraftteknikk)
Utr,Utredningsingeniør (elkraftteknikk)
Ver,Verneingeniør (elkraftteknikk)
Tek,Tekniker (elkraftteknikk)
Utv,Utviklingsingeniør (elektro)
Ele,Elektronikkingeniør
Ing,Ingeniør (elektronikk)
Tek,Tekniker (elektronikk)
Ing,Ingeniør (mekatronikk)
Arb,Arbeidsstudieingeniør (elektronikk og telekommunikasjon)
Arb,Arbeidsstudietekniker (elektronikk og telekommunikasjon)
Aut,Automasjonsingeniør
Ber,Beregningsingeniør (elektronikk og telekommunikasjon)
Dri,Driftsingeniør (elektronikk og telekommunikasjon)
Dri,Driftstekniker (elektronikk og telekommunikasjon)
Ele,Elektrotekniker (elektroteknikk)
Fly,Flyingeniør
Ing,Ingeniør (elektroteknikk)
Ing,Ingeniør (telekommunikasjon)
Ing,Ingeniør (teleteknikk)
Ins,Instruksjonsingeniør (elektronikk og telekommunikasjon)
Ins,Instruksjonstekniker (elektronikk og telekommunikasjon)
Kon,Konstruksjonstegner (elektronikk og telekommunikasjon)
Kon,Konstruktør (elektronikk og telekommunikasjon)
Kon,Konstruktør (elektroteknikk)
Kon,Kontrollingeniør (elektronikk og telekommunikasjon)
Pla,Planleggingsingeniør (elektronikk og telekommunikasjon)
Pla,Planleggingstekniker (elektronikk og telekommunikasjon)
Pro,Produksjonstekniker (elektronikk)
Pro,Prosessingeniør (elektronikk)
Pro,Prosesstekniker (elektronikk)
Pro,Prosjektingeniør (elektronikk og telekommunikasjon)
Pro,Prosjektingeniør (elektroteknikk)
Pro,Prosjektingeniør (alarmanlegg)
Pro,Prosjektleder (elektronikk)
Rad,Radioingeniør
Ser,Serviceingeniør (elektronikk og telekommunikasjon)
Ser,Servicetekniker  (elektronikk og telekommunikasjon)
Sig,Signalingeniør (teleteknikk)
Sta,Standardiseringsingeniør (elektronikk og telekommunikasjon)
Teg,Tegner (teleteknikk elektronikk og telekommunikasjon)
Tek,Teknisk konsulent (elektronikk og telekommunikasjon)
Tek,Teknisk sjef (kontormaskiner)
Tel,Teleingeniør
Tel,Telekommunikasjonsingeniør
Tel,Telekommunikasjonstekniker
Tel,Teletekniker
Tes,Testingeniør (elektronikk og telekommunikasjon)
Tes,Testtekniker (elektronikk)
Utr,Utredningsingeniør (elektronikk og telekommunikasjon)
Utv,Utviklingsingeniør (elektronikk og telekommunikasjon)
Ins,Installasjonsinspektør
Ing,Ingeniør (maskin)
Tek,Tekniker (maskin)
Mas,Maskiningeniør
Arb,Arbeidsstudieingeniør (maskin)
Arb,Arbeidsstudietekniker (maskin)
Avd,Avdelingsingeniør (maskin)
Ber,Beregningsingeniør (maskin)
Bes,Besiktigelsesingeniør (maskin)
Dok,Dokumentasjonsansvarlig (maskin og teknisk installasjon)
Dri,Driftsingeniør (maskin)
Dri,Driftstekniker (maskin)
Ins,Instruksjonsingeniør (maskin)
Ins,Instruksjonstekniker (maskin)
Kon,Konstruksjonstegner (maskin)
Kon,Konstruktør (maskiningeniør)
Kon,Konstruktør (mekanikk)
Kon,Kontrollingeniør (maskin)
Kon,Kontrolltekniker (maskin)
Kra,Krankontrollør
Pla,Planleggingsingeniør (maskin)
Pla,Planleggingstekniker (maskin)
Pro,Produksjonsplanleggsleder (maskin)
Pro,Produksjonsteknisk leder (maskin)
Pro,Prosjektingeniør (maskin)
Sen,Senior maskiningeniør
Ser,Serviceingeniør (maskin)
Ser,Servicetekniker (maskin)
Ski,Skipsingeniør
Sta,Standardiseringsingeniør (maskin)
Teg,Tegningskontrollør (maskin)
Tek,Teknisk konsulent (maskin)
Utr,Utredningsingeniør (maskin)
Ved,Vedlikeholdsingeniør (maskin)
Ver,Verktøykonstruktør
Ver,Verneingeniør (maskin)
Mas,Maskintekniker
Ing,Ingeniør (kjemi)
Tek,Tekniker (kjemi)
Kje,Kjemiingeniør
Lab,Laborant (kjemi- og prosessindustri)
Lær,Lærling (laborant) (kjemi- og prosessindustri)
Arb,Arbeidsstudieingeniør (kjemi)
Arb,Arbeidsstudietekniker (kjemi)
Avd,Avdelingsingeniør (kjemi)
Bes,Besiktigelsesingeniør (kjemi)
Dri,Driftsingeniør (kjemi)
For,Forskningstekniker (kjemi)
Ing,Ingeniør (kjemiprosess)
Ins,Instruksjonsingeniør (kjemi)
Ins,Instruksjonstekniker (kjemi)
Kje,Kjemitekniker
Kon,Konstruktør (kjemi)
Kon,Kontrollingeniør (kjemi)
Kon,Kontrolltekniker (kjemi)
Pla,Planleggingsingeniør (kjemi)
Pla,Planleggingstekniker (kjemi)
Pro,Prosessingeniør (kjemi)
Pro,Prosjektingeniør (kjemi)
Ser,Serviceingeniør (kjemi)
Ser,Servicetekniker (kjemi)
Tek,Tekniker (kjemiprosess)
Tek,Teknisk konsulent (kjemi)
Ver,Verneingeniør (kjemi)
Lab,Laborantleder (kjemi- og prosessindustri)
Ing,Ingeniør (bergverk og metallurgi)
Ing,Ingeniør (olje)
Tek,Tekniker (olje)
Tek,Tekniker (bergverk og metallurgi)
Tek,Tekniker (petroleum)
Tek,Teknisk sjef (olje)
Anl,Anleggsoperatør (olje)
Arb,Arbeidsstudieingeniør (bergverk og metallurgi)
Arb,Arbeidsstudietekniker (metallurgi)
Avd,Avdelingsingeniør (bergverk og metallurgi)
Ber,Bergingeniør (gruvedrift)
Ber,Bergtekniker (gruvedrift)
Bor,Boreingeniør
Bor,Borevæskeingeniør (olje)
Brø,Brønningeniør (olje)
Dri,Driftsingeniør (bergverk og metallurgi)
Dri,Driftsingeniør (olje)
Dri,Driftsingeniør (petroleum)
Dri,Driftstekniker (bergverk og metallurgi)
Dri,Driftstekniker (metallurgi)
Dri,Driftstekniker (olje)
Ins,Inspeksjonsingeniør (undervanns)
Ins,Instruksjonsingeniør (bergverk og metallurgi)
Ins,Instruksjonsingeniør (olje)
Ins,Instruksjonstekniker (bergverk og metallurgi)
Ins,Instruksjonstekniker (olje)
Kab,Kabeloperasjonsleder
Kom,Kompletteringsingeniør
Kon,Konstruktør (bergverk og metallurgi)
Kon,Konstruktør (olje)
Kon,Kontrollingeniør (bergverk og metallurgi)
Kon,Kontrolltekniker (bergverk og metallurgi)
Kon,Kontrolltekniker (olje)
MUB,MUB ingeniør
Olj,Oljebrennertekniker
Pet,Petroleumsingeniør
Pip,Piping ingeniør
Pla,Planleggingsingeniør (bergverk og metallurgi)
Pla,Planleggingsingeniør (olje)
Pla,Planleggingstekniker (bergverk og metallurgi)
Pla,Planleggingstekniker (olje)
Pro,Produksjonsingeniør (bergverk og metallurgi)
Pro,Produksjonsingeniør (olje)
Pro,Produksjonstekniker (bergverk og metallurgi)
Pro,Produksjonstekniker (olje)
Pro,Prosessingeniør (olje)
Pro,Prosjektingeniør (bergverk og metallurgi)
Pro,Prosjektingeniør (olje)
Res,Reservoaringeniør (olje)
Rør,Røringeniør
Sei,Seismisk personell (olje og gassutvinning)
Ser,Serviceingeniør (bergverk og metallurgi)
Ser,Serviceingeniør (olje)
Ser,Servicetekniker (bergverk og metallurgi)
Ser,Servicetekniker (olje)
Sik,Sikkerhetstekniker (olje)
Sur,Surveyor (oljeleting)
Tek,Teknisk konsulent (bergverk og metallurgi)
Tek,Teknisk konsulent (olje)
Und,Undervannsingeniør
Und,Undervannsutstyrsingeniør (olje)
Und,Undervannsutstyrstekniker (olje)
Ver,Verneingeniør (bergverk og metallurgi)
Ver,Verneingeniør (olje)
Ver,Verneleder (olje bergverk og metallurgi)
Lab,Laborant (oljeutvinning og bergverksdrift)
Lab,Laborantleder (oljeutvinning og bergverksdrift)
Lær,Lærling (laborant) (oljeutvinning og bergverksdrift)
Pro,Prosessingeniør (metallurgi)
Tek,Teknisk tegner
Tek,Teknisk tegner (maskin)
Gra,Grafisk ingeniør
Ing,Ingeniør (kart og oppmåling)
Kon,Konstruksjonstegner (øvrig teknisk virksomhet)
Teg,Tegningskontrollør (øvrig teknisk virksomhet)
DAK,DAK-operatør
Fag,Fagarbeider (teknisk tegning)
For,Formann (teknisk tegning)
Jor,Jordskifteassistent
Kar,Kartgrafiker
Kar,Kartinspektør
Kar,Kartreprodusør
Kar,Kartretter
Kar,Karttegner
Kon,Konstruktør (teknisk tegning)
Lær,Lærling (teknisk tegning)
Mas,Maskintegner
Opp,Oppmålingsfullmektig
Opt,Optisk tegner
Sti,Stikningsarbeider
Sti,Stikningsformann
Teg,Tegneassistent
Teg,Tegner (bygge- og anleggsteknikk)
Teg,Tegner (elektroteknikk)
Teg,Tegner (teknisk)
Teg,Tegner (øvrig teknisk virksomhet)
Teg,Tegningsgransker (teknisk)
Tek,Teknisk illustratør
Arb,Arbeidsforskningsingeniør
Ing,Ingeniør (øvrig)
Arb,Arbeidsstudietekniker (øvrig teknisk virksomhet)
Ber,Beregningsingeniør (øvrig teknisk virksomhet)
Nær,Næringsmiddeltekniker
Sik,Sikkerhetsinspektør
Ing,Ingeniør (samferdselsteknikk)
Arb,Arbeidsstudieingeniør (øvrig teknisk virksomhet)
Kon,Konstruktør (øvrig teknisk virksomhet)
Kon,Kontrollingeniør (øvrig teknisk virksomhet)
Kon,Kontrolltekniker (øvrig teknisk virksomhet)
Pat,Patentingeniør
Pla,Planleggingsingeniør (annen teknisk virksomhet)
Pla,Planleggingsingeniør (øvrig teknisk virksomhet)
Pla,Planleggingstekniker (øvrig teknisk virksomhet)
Pro,Produksjonskoordinator (øvrig teknisk virksomhet)
Pro,Produksjonsplanlegger (øvrig teknisk virksomhet)
Pro,Prosjektoppfølger (øvrig teknisk virksomhet)
Sen,Senior ingeniør (øvrig teknisk virksomhet)
Ser,Serviceingeniør (øvrig teknisk virksomhet)
Ser,Servicetekniker (øvrig teknisk virksomhet)
Sik,Sikkerhetsingeniør
Sta,Standardiseringsingeniør (øvrig teknisk virksomhet)
Tek,Tekniker (øvrig teknisk virksomhet)
Tek,Teknisk konsulent (øvrig teknisk virksomhet)
Utr,Utredningsingeniør (øvrig teknisk virksomhet)
Ver,Verkstedingeniør (øvrig teknisk virksomhet)
Ver,Verkstedkontrollør (øvrig teknisk virksomhet)
Ver,Verneingeniør
Yrk,Yrkeshygieniker
Bes,Besiktigelsesmann (sikkerhet)
Bil,Bilinspektør
Bil,Bilsakkyndig
Bil,Biltilsyninspektør
Far,Fartøyinspektør
Hov,Hovedverneombud
Ins,Inspektør (bil)
Kjø,Kjøretøykontrollør
Kon,Kontrollingeniør (sikkerhet)
Kva,Kvalitetsinspektør
Kva,Kvalitetskonsulent
Kva,Kvalitetssikringsinspektør
Kva,Kvalitetssikringskoordinator
Kva,Kvalitetssikringsleder
Kva,Kvalitetssjef
Min,Minerydder (sivil)
Dri,Driftsingeniør (øvrig teknisk virksomhet)
Saf,Safety officer
Sik,Sikkerhetsansvarlig
Dri,Driftstekniker (øvrig teknisk virksomhet)
Sik,Sikkerhetsrådgiver
Sik,Sikkerhetstekniker
Vek,Vektkontrollør (bilkontroll)
Ver,Verneombud
NDT,NDT-ingeniør
Arb,Arbeidsleder (gruve)
Pro,Produksjonsformann (oljevirksomhet)
Arb,Arbeidsleder (industri)
Tek,Tekniker (øvrig)
Dri,Driftsingeniør (møbelproduksjon)
Emb,Emballasjetekniker
Pro,Prosjektingeniør (møbelproduksjon)
Sve,Sveiseingeniør (øvrig teknisk virksomhet)
Tek,Teknisk sjef (møbelproduksjon)
For,Formann (motormekanikk)
For,Formann (industrimekanikk)
Job,Jobbleder (mekanisk verksted)
Arb,Arbeidsleder (transformatorproduksjon)
Arb,Arbeidsleder (keramisk dekor)
Arb,Arbeidsleder (keramisk forming)
Arb,Arbeidsleder (møbelindustri trebearbeiding)
Arb,Arbeidsleder (trevare)
Arb,Arbeidsleder (kjøttindustri)
Arb,Arbeidsleder (fiskeforproduksjon)
Arb,Arbeidsleder (bryggeri)
For,Formann (kopper- og blikkenslager)
Arb,Arbeidsleder (bygg)
Brø,Brønnborer
Dia,Diamantborer
Arb,Arbeidsleder (vei- og anleggsarbeid)
For,Formann (betong- og grunnarbeid)
For,Formann (jernbinding)
For,Formann (bygg og anlegg)
Anl,Anleggsleder
Res,Restaureringstekniker
Jer,Jernbinderbas
For,Formann (vei- og anleggsarbeid)
Lag,Lagbas (anlegg)
Opp,Oppsynsmann (vei- og anleggsarbeid)
For,Formann (stillasbygging)
Bes,Bestyrer (vei- og anleggsarbeid)
Arb,Arbeidssjef (bygg og anlegg)
For,Formann (heismontør)
Arb,Arbeidsleder (energiverk)
Ene,Energioperatør
Lær,Lærling (energiverk)
Ins,Inspektør (energiverk)
Ove,Overinspektør (energiverk)
Fje,Fjernvarmeoperatør
Bre,Brettvakt (kraftstasjon)
Ene,Energitekniker
For,Formann (energiverk)
Kon,Kontrollromsoperatør
Kra,Kraftverksoperatør
Mas,Maskinmester (kraftstasjon)
Spe,Spesialarbeider (energiverk)
Dri,Driftsoperatør (vannrenseanlegg)
For,Formann (forbrenningsanlegg)
Ope,Operatør (forbrenningsanlegg)
Dri,Driftsarbeider (vannrenseanlegg)
For,Formann (vannrenseanlegg)
Avd,Avdelingsingeniør (avfallsdeponi)
Opp,Oppsynsmann (avfallsdeponi)
Fag,Fagarbeider (forbrenningsanlegg)
Fag,Fagarbeider (vannrenseanlegg)
Fry,Frysemaskinist (stasjonære anlegg)
Kjø,Kjølemaskinist (forbrenningsanlegg)
Lær,Lærling (vannrenseanlegg)
Mas,Maskinist (forbrenningsanlegg)
Ren,Renseanleggsoperatør
Spe,Spesialarbeider (forbrenningsanlegg)
Spe,Spesialarbeider (vannrenseanlegg)
Van,Vannverksarbeider
Kon,Kontrolloperatør innen kjemisk prosessindustri
Kon,Kontrolloperatør (naturgassraffineringsanlegg)
Ope,Operatør olje- og naturgassraffineringsanlegg)
Sup,Supervisor (oljevirksomhet)
Bor,Boreoperasjonsleder (olje)
Brø,Brønnintervensjonsleder (olje)
Kon,Kontrollingeniør (olje)
Sta,Stabilitetssjef (flyttbar oljerigg)
Arb,Arbeidsleder (olje- og gassutvinning)
For,Formann (olje- og gassutvinning)
Des,Destillatør (olje)
Dri,Driftsoperatør (raffineri)
Dri,Driftstekniker (raffineri)
Ope,Operatør (raffineri)
Olj,Oljeseparatør
Pro,Prosessoperatør (raffineri)
Pro,Prosesstekniker (raffineri)
Ved,Vedlikeholdsoperatør (raffineri)
Ved,Vedlikeholdstekniker (raffineri)
For,Formann (metallverk)
For,Formann (metallforming)
For,Formann (metallvareproduksjon)
For,Formann (myntproduksjon)
Kva,Kvalitetskontrollør (metallvareproduksjon)
Ann,Annen prosesskontrolloperatør
Pro,Prosesskontrollør (papirmasseproduksjon)
Pro,Prosesskontrollør (papirproduksjon)
Bio,Biokjemitekniker
Bak,Bakteriologitekniker
For,Forskningstekniker (biologi)
Kli,Klinisk monitor (CRA)
Mei,Meierikonsulent
Pre,Preparant
Zoo,Zoologitekniker
Lab,Laborant (ikke-medisinsk bioteknikk)
Lab,Laborantleder (ikke-medisinsk bioteknikk)
Lær,Lærling (laborant)(ikke-medisinsk bioteknikk)
Agr,Agrotekniker
Fis,Fiskeritekniker
Fis,Fiskeriinspektør
Agr,Agronom
Agr,Agronomassistent (fylke)
Avl,Avlskonsulent
Dis,Distriktsgartner
Fag,Fagkonsulent (jordbruk skogbruk)
For,Forskningstekniker (jordbruk skogbruk)
For,Forsøksleder (jordbruk)
For,Forsøkstekniker (jordbruk skogbruk)
Fyl,Fylkesagronomassistent (landbruksselskap)
Fyl,Fylkesgartnerassistent
Ing,Ingeniør (akvakultur)
Jor,Jordregisterassistent
Jor,Jordregistertekniker
Jor,Jordstyreassistent
Ove,Overassistent (fjøskontroll)
Ung,Unggrismåler
Utm,Utmarkstekniker
Sko,Skogbruksfunksjonær
Sko,Skogtekniker
All,Allmenningbestyrer
Dri,Driftsplanlegger (skog)
Dri,Driftsplanteknikker (skog)
Sko,Skogkonsulent
Fje,Fjelloppsynsmann
For,Forsøksleder (skogbruk)
Fyl,Fylkesskogmesterassistent
Her,Herredskogmesterassistent
Råd,Rådgiver (skogbruk)
Sko,Skogassistent
Sko,Skogbestyrer
Sko,Skogbruksleder
Sko,Skogbruksplanlegger
Sko,Skogbruksrådgiver
Sko,Skogformann
Sko,Skogforvalter
Sko,Skogfullmektig
Sko,Skogingeniør
Sko,Skoginspektør
Tøm,Tømmersjef
Utm,Utmarkskonsulent
Vil,Viltforvalter
Vil,Viltkonsulent
And,Andremaskinist (skip)
Ene,Enemaskinist
Før,Førstemaskinist (skip)
Ann,Annenmaskinist
Mas,Maskinsjef
Ski,Skipsmaskinist
Ins,Inspektør (skip)
Kjø,Kjølemaskinist (skip)
Mas,Maskinist (skip)
Mas,Maskinoffiser (skip)
Off,Offiseraspirant (maskin)
Sup,Supervisor (vedlikehold skip)
Tek,Teknisk assistent (bore- og entreprenørfartøy)
And,Andrestyrmann
Dek,Dekksoffiser
Før,Førstestyrmann
Off,Offiseraspirant (dekk)
Båt,Båtfører
Los,Los
Ove,Overstyrmann
Ski,Skipsfører
Sty,Styrmann
DP-,DP-operatør
Kap,Kaptein (sjø)
Lek,Lekterfører
Los,Losinspektør
Los,Losoldermann
Los,Losformidler
Los,Losbåtfører
Los,Losbåtsmann
Los,Losformann
Red,Rederilos
Rut,Rutelos
Sta,Statslos
Tre,Tredjestyrmann
Dek,Dekkskadett
Los,Losbåtformann
Fly,Flyger
Ann,Annenflyger
Fly,Flyinstruktør
Fly,Flykaptein
Fly,Flynavigatør
Fly,Flystyrmann
Kon,Kontrollflyger
Fly,Flygeleder
Fly,Flygelederassistent
Luf,Lufttrafikkleder
Fly,Flygelederaspirant
Fly,Flytekniker
Rad,Radiograf
Sje,Sjefsstråleterapeut
Avd,Avdelingsradiograf
Avd,Avdelingsstråleterapeut
Str,Stråleterapeut
Røn,Røntgenfotograf
Røn,Røntgentekniker
Skj,Skjermbildeinspektør
Sje,Sjefradiograf
Ove,Overradiograf
Bio,Bioingeniør
Lab,Laboratorietekniker
Avd,Avdelingsbioingeniør
Ove,Overbioingeniør
Fys,Fysiokjemiker
Før,Førstepreparant
Kli,Klinisk tester (medisiner)
Lab,Laboratorierådgiver
Per,Perfusjonist
Sje,Sjefsbioingeniør
Spe,Spesialbioingeniør
Lab,Laborant (medisinsk laboratorium)
Lab,Laborantleder (medisinsk laboratorium)
Lær,Lærling (laborant) (medisinsk laboratorium)
Syk,Sykehuslaborant
Apo,Apotektekniker
Res,Reseptar
Led,Ledende apotektekniker
Ort,Ortopeditekniker
Pro,Protesetekniker
Tan,Tanntekniker
Ort,Ortopediingeniør
Led,Ledende ortopediingeniør
Led,Ledende ortopeditekniker
Ort,Ortopedimekaniker
Pro,Produksjonsarbeider (ortopedisk fottøy)
Tan,Tannteknikermester
Nat,Naturterapeut
Yrk,Yrke innen alternativ medisin
Aku,Akupunktør
Bio,Biopat
Hea,Healer
Hei,Heilpraktiker
Hom,Homøopat
Kin,Kinesiolog
Phy,Phytoterapeut
Pol,Polaritetsterapeut
Ros,Rosenterapeut
SIS,SIS-integreringsterapeut
Son,Soneterapeut
Øre,Øreakupunktør
Ges,Gestaltterapeut
Hyp,Hypnoterapeut
Dyr,Dyrepleier
Vet,Veterinærassistent
Reh,Rehabiliteringsterapeut (hund)
Tan,Tannpleier
Tan,Tannhygieniker
Led,Ledende tannpleier
Ins,Instruktørtannpleier
Opt,Optiker
Ort,Ortoptist
Lær,Lærling (optik)
Leg,Legesekretær
Hel,Helsesekretær
Syk,Sykehussekretær
Led,Ledende legesekretær
Ins,Inspektør (HMS)
Nær,Næringsmiddelinspektør
Nær,Næringsmiddelteknolog
HMS,HMS-ingeniør
Arb,Arbeidstilsynskontrollør
HMS,HMS-konsulent
HMS,HMS-koordinator
HMS,HMS-leder
But,Butikkinspektør
But,Butikkontrollør
Ins,Inspektør (landbruks- og matproduksjon)
Hel,Helserådsinspektør
Hel,Helserådskontrollør
Hyg,Hygieneinspektør
Hyg,Hygieniker (næringsmiddel)
Mat,Mattilsynsinspektør
Mat,Mattilsynskontrollør
Mei,Meieriinspektør
Nær,Næringsmiddelkontrollør
Res,Restaurantinspektør
Amb,Ambulansearbeider
Amb,Ambulansepersonell
Amb,Ambulansesjåfør
Amb,Ambulansebåtfører
HEM,HEMS-crew
Lær,Lærling (ambulansefag)
Ann,Annet helseyrke
Nap,Naprapat
Fin,Finansmegler
Aks,Aksjemegler
Bør,Børsmegler
Bev,Bevillingsinnehaver (fondsmegler)
Fag,Fagkonsulent (finans)
Fag,Fagsjef (finans)
Fin,Finansanalytiker
Fin,Finanskonsulent (bank)
Fin,Finanskonsulent (megling)
Fon,Fondsmegler
For,Formuesforvalter
Gru,Gruppeleder (finans)
Kap,Kapitalforvalter (bedrifter)
Kap,Kapitalforvalter (privatkunder)
Kun,Kundekonsulent (megling)
Meg,Megler (finans)
Obl,Obligasjonsmegler
Ops,Opsjonsmegler
Por,Porteføljeforvalter
Por,Porteføljeselger
Pro,Prosjektleder (finans)
Sje,Sjefsmegler (finans)
Sou,Soussjef (finans)
Spe,Spesialrådgiver (finans)
Tea,Teamleder (finans)
Val,Valutakoordinator
Val,Valutamegler
Ver,Verdipapirmegler
Ban,Bankfunksjonær
Kun,Kundebehandler (bank)
Ban,Bankanalytiker (høyskolekompetanse)
Ban,Bankkonsulent
Ban,Bankøkonom
Bed,Bedriftsrådgiver (bank)
Dri,Driftsøkonom
Fag,Fagsjef (bank)
Fin,Finansrådgiver (bank)
Gru,Gruppeleder (bank)
Inv,Investeringsrådgiver (bank)
Kon,Konsulent (bank)
Kon,Kontorsjef (bank)
Kre,Kredittkonsulent (bank)
Kun,Kundeansvarlig (bank)
Kun,Kundekonsulent (bank)
Kun,Kundemegler (bank)
Pla,Plasseringsrådgiver (bank)
Pro,Prosjektleder (bank)
Råd,Rådgiver (bank)
Sal,Salgsleder (bank)
Sel,Selger (bank)
Ser,Servicekonsulent (bank)
Sje,Sjefsmegler (bank)
Spe,Spesialrådgiver (bank)
Tea,Teamleder (bank)
Tra,Trainee (bank)
Øko,Økonomisk rådgiver (bank)
Ink,Inkassoleder
Reg,Regnskapsfører
Aut,Autorisert regnskapsfører
Kon,Konsulent (revisjon)
Sje,Sjefskonsulent (revisjon)
Spe,Spesialkonsulent (revisjon)
Kon,Konsulent (økonomi - privat virksomhet)
Sen,Senior økonomikonsulent
Sje,Sjefskonsulent (økonomi - privat virksomhet)
Spe,Spesialkonsulent (økonomi - privat virksomhet)
Øko,Økonomikonsulent
Fag,Fagansvarlig (fakturering)
For,Forretningsfører (regnskap)
Kal,Kalkulasjonsleder
Kal,Kalkulatør
Opp,Oppgjørsmedarbeider (aksje- finans- og fondmekling)
Opp,Oppgjørsmedarbeider (eiendomsmegling)
Opp,Oppgjørsmedarbeider (økonomi)
Opp,Oppgjørssjef (eiendom/boligsalg)
Pro,Prokurist
Reg,Regnskapskonsulent
Reg,Regnskapskoordinator
Reg,Regnskapsleder
Sek,Seksjonsleder (regnskap og lønn)
Sen,Senior kalkulatør
Sup,Supervisor (regnskap)
Tak,Takstmann
Tøm,Tømmermålingsinspektør
Bes,Besiktigelsesmann (taksering)
Ska,Skadeinspektør
Ska,Skaderegulerer
Sko,Skogtaksator
Sur,Surveyer (taksering)
Tak,Takstingeniør
Tak,Takstinspektør
Tak,Takstøkonom
Tar,Tarifferer
Tek,Teknisk inspektør (taksering)
Tøm,Tømmermåler
For,Forsikringskonsulent
For,Forsikringsagent
Ana,Analytiker (forsikring)
Ass,Assurandør (forsikring)
Avd,Avdelingssjef (forsikring)
Bed,Bedriftskonsulent (forsikring)
Ber,Beregner (forsikring)
Bes,Besiktigelseskonsulent (forsikring)
Con,Controller (forsikring)
Fag,Fagkonsulent (forsikring)
Fag,Fagsjef (forsikring)
Fin,Finanskonsulent (forsikring)
For,Forsikringsakkvisitør
For,Forsikringsinspektør
For,Forsikringsmegler
For,Forsikringsrådgiver (autorisert)
Opp,Oppgjørsleder (forsikring)
Gru,Gruppeleder (forsikring)
Hav,Havarisekretær (forsikring)
Kre,Kredittkonsulent (forsikring)
Kun,Kundebehandler (forsikring)
Opp,Oppgjørsmedarbeider (forsikring)
Pol,Polisemedarbeider
Pol,Poliseprodusent
Pri,Privatassurandør (forsikring)
Pro,Prosjektleder (forsikring)
Rea,Reassuransekonsulent
Rei,Reiseinspektør (forsikring)
Sik,Sikkerhetskonsulent (forsikring)
Ska,Skadebehandler
Ska,Skadeoppgjørskonsulent (forsikring)
Sou,Soussjef (forsikring)
Spe,Spesialkonsulent (forsikring)
Tea,Teamleder (forsikring)
Tek,Teknisk inspektør (forsikring)
Tek,Teknisk konsulent (forsikring)
Tra,Trainee (forsikring)
Und,Underwriter (forsikring)
Utr,Utreder (forsikring)
Meg,Meglerassistent (forsikringsmegling)
Age,Agent (selger)
Pro,Provisjonsselger (detalj)
Pro,Provisjonsselger (engros)
Sal,Salgssjåfør (engros)
Sel,Selger (engros)
Ann,Annonsekonsulent (bedriftsmarked)
Are,Area Manager
Bil,Bilmegler (engrosalg)
Eks,Eksportagent
Ene,Eneforhandler (agent)
Gen,Generalagent
Gro,Grossist (agent)
Han,Handelsagent
Imp,Importagent
Key,Key Account Manager (salg)
Mar,Markedsfører (agent)
Rep,Representant (agent)
Sal,Salgsinspektør
Sal,Salgskonsulent
Sal,Salgskontrollør
Sal,Salgsleder (engros)
Sal,Salgsspesialist
Sal,Salgstekniker
Sal,Salgstrainee
Ser,Service Manager
Spe,Spesialkonsulent (salg)
Sto,Storkundeansvarlig (engrossalg)
Tot,Total Service Manager
Dis,Distribusjonskonsulent (forlag)
Pro,Produktspesialist (salg)
Inn,Inneselger
Kun,Kundekonsulent (engros)
Kun,Kundesupportleder (engros)
Acc,Account manager
Inn,Innkjøper
Inn,Innkjøpsansvarlig
Inn,Innkjøpsingeniør
Inn,Innkjøpsanalytiker
Bil,Bilkoordinator
Bun,Bunkersansvarlig
Fly,Flymegler
Var,Varemegler
Han,Handelsmegler
Ski,Skipsmegler
Olj,Oljekontraktmegler
Råv,Råvaremegler
Eks,Eksportkonsulent
Spe,Speditør
Bef,Befrakter
Imp,Importmedarbeider
Tra,Transportkonsulent
Lin,Linjebefrakter (spedisjon)
Meg,Megler (spedisjon)
Ope,Operasjonsmedarbeider (spedisjon)
Ope,Operasjonssjef (befraktning)
Ski,Skipsagent
Ski,Skipsklarerer
Tal,Tallymann
Tra,Trafikkassistent (spedisjon)
Tra,Trafikkleder (spedisjon)
Tra,Trafikkoordinator (spedisjon)
Tra,Transportformann
For,Fortoller (spedisjon)
Tra,Transportplanlegger
Tra,Transportør
Fly,Flytrafikkvaktsjef
Kon,Konferansesjef (kurs fagkonferanser ol.)
Kon,Konferansearrangør
Pro,Prosjektsjef (administrasjon av arrangementer og turneer)
Kon,Konsulent (administrasjon av arrangementer)
Kon,Konferanseplanlegger
Kur,Kursarrangør
Per,Personalkonsulent (vikarbyrå)
Arb,Arbeidsformidler (privat formidling)
Rek,Rekrutteringskonsulent (vikarbyrå)
Bem,Bemanningskonsulent
Eie,Eiendomsforvalter
Eie,Eiendomsmegler
Eie,Eiendomsutvikler
Bol,Boligutleiesjef
Tek,Teknisk sjef (eiendom/boligsalg)
Eie,Eiendomsmeglerfullmektig
Med,Medhjelper (eiendomsmegling)
Age,Agent (megler)
Spo,Sponsorformidler
Auk,Auksjonarius
Bed,Bedriftsmegler
Ann,Annonseakkvisitør (strategi og rådgivning)
